Cluster,Sentence,Motivo
2,The dragonfly's wings sparkled like gemstones in the sunlight.,Frases relacionadas con arte y música.
2,"The bagpipes were adorned with a tartan pattern, honoring Scottish tradition.",Frases relacionadas con arte y música.
2,The fur pattern on the tiger was striking and intimidating.,Frases relacionadas con arte y música.
2,The triangle was simple but required precise timing.,Frases relacionadas con arte y música.
2,The microchip was so small it could be embedded under the skin.,Frases relacionadas con arte y música.
2,The mimosa plant responded to touch by folding its leaves.,Frases relacionadas con arte y música.
2,The porcupine had quills that could detach when threatened.,Frases relacionadas con arte y música.
2,"The dandelion seed head formed a delicate sphere, ready to be carried away by the wind.",Frases relacionadas con arte y música.
2,The origami crane was minute but intricately folded.,Frases relacionadas con arte y música.
2,The didgeridoo produced a haunting sound that was deeply rooted in Aboriginal culture.,Frases relacionadas con arte y música.
2,The virtual reality headset offered an immersive experience.,Frases relacionadas con arte y música.
2,The petals of the rose were arranged in perfect symmetry.,Frases relacionadas con arte y música.
2,The pickup truck had a toolbox and a rack for carrying lumber.,Frases relacionadas con arte y música.
2,The dolphin's streamlined shape made it look graceful in water.,Frases relacionadas con arte y música.
2,"The octopus had remarkable intelligence, solving puzzles easily.",Frases relacionadas con arte y música.
2,The length of the train seemed to stretch into the horizon.,Frases relacionadas con arte y música.
2,The tuba was so large it required its own seat in the orchestra.,Frases relacionadas con arte y música.
2,The sitar's complex architecture made it visually fascinating.,Frases relacionadas con arte y música.
2,The carnivorous pitcher plant lured insects into its deadly trap.,Frases relacionadas con arte y música.
2,"The kangaroo carried its young in a pouch, making for an unusual sight.",Frases relacionadas con arte y música.
2,The aloe vera plant was known for its medicinal qualities.,Frases relacionadas con arte y música.
2,The anteater had a long tongue specialized for consuming ants.,Frases relacionadas con arte y música.
2,The violin looked petite next to the towering double bass.,Frases relacionadas con arte y música.
2,The spacecraft was equipped with advanced life-support systems.,Frases relacionadas con arte y música.
2,The luxury car had a sleek design that turned heads wherever it went.,Frases relacionadas con arte y música.
2,"The cherry blossoms were a delicate pink, symbolizing the arrival of spring.",Frases relacionadas con arte y música.
2,The saxophone had a golden hue that shimmered under the stage lights.,Frases relacionadas con arte y música.
2,The drum set was so expansive it seemed like a small fortress.,Frases relacionadas con arte y música.
2,The compact sedan could easily slide into the tightest parking spots.,Frases relacionadas con arte y música.
2,"The harmonica was a muted blue, belying the power of its sound.",Frases relacionadas con arte y música.
2,"The lotus flower floated elegantly on the water, a picture of serenity.",Frases relacionadas con arte y música.
2,The size of the blue whale dwarfed even the largest of ocean vessels.,Frases relacionadas con arte y música.
2,"The kazoo was often underestimated, but it could add a unique element to performances.",Frases relacionadas con arte y música.
2,"The pumpkin vine spread out over a vast area, dominating the garden.",Frases relacionadas con arte y música.
2,The red maple leaves in autumn were a spectacular sight.,Frases relacionadas con arte y música.
2,The motorcycle was painted in a shade of blue so deep it resembled the ocean.,Frases relacionadas con arte y música.
2,The accordion was decorated with ornate patterns that gave it an old-world charm.,Frases relacionadas con arte y música.
2,The blue orchids were so vibrant they looked almost unreal.,Frases relacionadas con arte y música.
2,The sports car had aerodynamic curves that hinted at its speed.,Frases relacionadas con arte y música.
2,The banjo had mother-of-pearl inlays that added a touch of luxury.,Frases relacionadas con arte y música.
2,"The canoe was crafted from a single tree, showcasing traditional craftsmanship.",Frases relacionadas con arte y música.
2,The peacock displayed feathers of iridescent blues and greens.,Frases relacionadas con arte y música.
2,The elephant was so massive it seemed like a moving mountain.,Frases relacionadas con arte y música.
2,The truck was customized with elaborate graffiti that told a story.,Frases relacionadas con arte y música.
2,"The flute was silver, reflecting the elegance of its melodies.",Frases relacionadas con arte y música.
2,"The painting was done in shades of blue, evoking a sense of calm.",Frases relacionadas con arte y música.
2,"The architecture of the building was a marvel, blending old and new styles.",Frases relacionadas con arte y música.
2,"The robot was capable of autonomous movement, revolutionizing industries.",Frases relacionadas con arte y música.
2,The vintage scooter maintained an air of elegance despite its age.,Frases relacionadas con arte y música.
2,The feathers of the bald eagle commanded respect and awe.,Frases relacionadas con arte y música.
2,The RV had a retractable awning that provided shade for outdoor activities.,Frases relacionadas con arte y música.
2,The coffee plant was cherished for the beans it produced.,Frases relacionadas con arte y música.
2,The fire truck's red hue was so vivid that it could be spotted miles away.,Frases relacionadas con arte y música.
2,"The design of the smartphone was sleek and modern, appealing to young consumers.",Frases relacionadas con arte y música.
2,"The kitten was so tiny, it could curl up inside a teacup.",Frases relacionadas con arte y música.
2,"The size of the car seemed to defy physics, fitting into narrow alleys with room to spare.",Frases relacionadas con arte y música.
2,"The maracas were hand-painted, each telling a unique story.",Frases relacionadas con arte y música.
2,The platypus appeared bizarre with its duck-like bill and beaver-like tail.,Frases relacionadas con arte y música.
2,The zebra's black and white stripes served as an effective camouflage.,Frases relacionadas con arte y música.
2,The drone was equipped with a high-definition camera for aerial photography.,Frases relacionadas con arte y música.
2,The hamster was small enough to fit into the palm of a child's hand.,Frases relacionadas con arte y música.
2,"The ivy was an aggressive climber, overtaking walls and buildings.",Frases relacionadas con arte y música.
2,"The computer code was elegant, optimized for both speed and readability.",Frases relacionadas con arte y música.
2,"The bonsai was tiny but perfectly formed, a miniature masterpiece.",Frases relacionadas con arte y música.
2,"The fountain was intricately carved, adding elegance to the garden.",Frases relacionadas con arte y música.
2,The bamboo stalks created a sense of harmony and balance.,Frases relacionadas con arte y música.
2,The piccolo was so small it could fit into a coat pocket.,Frases relacionadas con arte y música.
2,"The cactus was surprisingly tall, standing like a sentinel in the desert.",Frases relacionadas con arte y música.
2,"The grand piano filled the room, both in size and in sound.",Frases relacionadas con arte y música.
2,The ladybug's red and black contrast made it easily noticeable.,Frases relacionadas con arte y música.
2,The theremin was unique in that it required no physical contact to play.,Frases relacionadas con arte y música.
2,"The sculpture was colossal, becoming a landmark in the city.",Frases relacionadas con arte y música.
2,"The army tank was a camouflage pattern, blending in with its surroundings.",Frases relacionadas con arte y música.
2,The flamingo's pink hue made it a standout among birds.,Frases relacionadas con arte y música.
2,"The hedgehog's spines were surprisingly beautiful, forming a unique pattern.",Frases relacionadas con arte y música.
2,The minivan was equipped with the latest entertainment system for long journeys.,Frases relacionadas con arte y música.
3,The sequoia tree was so tall it seemed to touch the sky.,Frases relacionadas con medios de transporte.
3,"The quilt was a kaleidoscope of colors, each patch telling its own story.",Frases relacionadas con medios de transporte.
3,"The helicopter was jet black, making it nearly invisible against the night sky.",Frases relacionadas con medios de transporte.
3,The stained glass window displayed an array of colors that danced in the light.,Frases relacionadas con medios de transporte.
3,"The lavender was a soothing purple, both in color and fragrance.",Frases relacionadas con medios de transporte.
3,The chameleon changed colors to blend in with its environment.,Frases relacionadas con medios de transporte.
3,"The fireworks lit up the sky in a myriad of colors, dazzling the crowd.",Frases relacionadas con medios de transporte.
1,"The synthesizer could mimic a range of instruments, making it versatile.",Frases relacionadas con tecnología y objetos modernos.
1,"The harp had an intricate wood carving, making it a piece of art as well as an instrument.",Frases relacionadas con tecnología y objetos modernos.
1,"The electric car emitted no noise, making it a silent operator on the roads.",Frases relacionadas con tecnología y objetos modernos.
1,"The bicycle had intricate patterns etched into its frame, making it a work of art.",Frases relacionadas con tecnología y objetos modernos.
1,"The layout of the website was intuitive, making for a great user experience.",Frases relacionadas con tecnología y objetos modernos.
1,"The globe in the library was enormous, making it a centerpiece.",Frases relacionadas con tecnología y objetos modernos.
1,"The mural covered the entire building, making it a large-scale artwork.",Frases relacionadas con tecnología y objetos modernos.
1,"The fashion accessory was adorned with complex beadwork, making it a statement piece.",Frases relacionadas con tecnología y objetos modernos.
1,The intricate veins of the fern leaf formed a natural work of art.,Frases relacionadas con tecnología y objetos modernos.
0,The graffiti was a bright splash of color against the gray concrete wall.,Frases relacionadas con naturaleza y animales.
0,"The school bus flaunted the iconic bright yellow, capturing attention immediately.",Frases relacionadas con naturaleza y animales.
0,"Compared to other birds, the condor's wingspan was extraordinary.",Frases relacionadas con naturaleza y animales.
0,"Compared to the cargo ships, the jet ski appeared as tiny as a minnow in a pond.",Frases relacionadas con naturaleza y animales.
0,The bus was so large it looked like a moving building on wheels.,Frases relacionadas con naturaleza y animales.
0,"The Venus flytrap was small but fierce, capturing insects with precision.",Frases relacionadas con naturaleza y animales.
0,"The sunflower was a radiant yellow, brightening up any landscape.",Frases relacionadas con naturaleza y animales.
0,"The electric guitar was a vibrant purple, capturing the essence of rock.",Frases relacionadas con naturaleza y animales.
