Frase,Cluster
dragonfly wing sparkled like gemstone sunlight,1
bagpipe adorned tartan pattern honoring scottish tradition,1
fur pattern tiger striking intimidating,1
triangle simple required precise timing,2
sequoia tree tall seemed touch sky,1
microchip small could embedded skin,1
mimosa plant responded touch folding leaf,1
porcupine quill could detach threatened,1
dandelion seed head formed delicate sphere ready carried away wind,1
origami crane minute intricately folded,2
didgeridoo produced haunting sound deeply rooted aboriginal culture,1
virtual reality headset offered immersive experience,2
petal rose arranged perfect symmetry,2
pickup truck toolbox rack carrying lumber,2
dolphin streamlined shape made look graceful water,1
octopus remarkable intelligence solving puzzle easily,2
length train seemed stretch horizon,1
tuba large required seat orchestra,1
sitar complex architecture made visually fascinating,1
carnivorous pitcher plant lured insect deadly trap,1
quilt kaleidoscope color patch telling story,1
kangaroo carried young pouch making unusual sight,1
aloe vera plant known medicinal quality,1
anteater long tongue specialized consuming ant,2
violin looked petite next towering double bass,2
synthesizer could mimic range instrument making versatile,1
spacecraft equipped advanced system,2
graffiti bright splash color gray concrete wall,1
luxury car sleek design turned head wherever went,1
school bus flaunted iconic bright yellow capturing attention immediately,1
compared bird condor wingspan extraordinary,2
helicopter jet black making nearly invisible night sky,1
cherry blossom delicate pink symbolizing arrival spring,2
saxophone golden hue shimmered stage light,1
stained glass window displayed array color danced light,1
lavender soothing purple color fragrance,1
harp intricate wood carving making piece art well instrument,1
drum set expansive seemed like small fortress,1
compact sedan could easily slide tightest parking spot,1
harmonica muted blue belying power sound,1
lotus flower floated elegantly water picture serenity,2
compared cargo ship jet ski appeared tiny minnow pond,1
size blue whale dwarfed even largest ocean vessel,1
kazoo often underestimated could add unique element performance,1
pumpkin vine spread vast area dominating garden,0
red maple leaf autumn spectacular sight,1
motorcycle painted shade blue deep resembled ocean,1
electric car emitted noise making silent operator road,1
accordion decorated ornate pattern gave charm,1
bus large looked like moving building wheel,1
blue orchid vibrant looked almost unreal,1
bicycle intricate pattern etched frame making work art,1
sport car aerodynamic curve hinted speed,1
layout website intuitive making great user experience,1
banjo inlay added touch luxury,1
venus flytrap small fierce capturing insect precision,1
canoe crafted single tree showcasing traditional craftsmanship,0
peacock displayed feather iridescent blue green,1
elephant massive seemed like moving mountain,1
sunflower radiant yellow brightening landscape,0
truck customized elaborate graffiti told story,1
flute silver reflecting elegance melody,0
painting done shade blue evoking sense calm,1
architecture building marvel blending old new style,1
globe library enormous making centerpiece,1
robot capable autonomous movement revolutionizing industry,0
vintage scooter maintained air elegance despite age,0
feather bald eagle commanded respect awe,0
chameleon changed color blend environment,1
rv retractable awning provided shade outdoor activity,0
coffee plant cherished bean produced,1
fire truck red hue vivid could spotted mile away,1
mural covered entire building making artwork,1
design smartphone sleek modern appealing young consumer,0
kitten tiny could curl inside teacup,1
size car seemed defy physic fitting narrow alley room spare,1
maraca telling unique story,1
platypus appeared bizarre bill tail,0
firework lit sky myriad color dazzling crowd,1
zebra black white stripe served effective camouflage,1
drone equipped camera aerial photography,0
hamster small enough fit palm child hand,1
ivy aggressive climber overtaking wall building,1
computer code elegant optimized speed readability,0
bonsai tiny perfectly formed miniature masterpiece,1
fountain intricately carved adding elegance garden,0
bamboo stalk created sense harmony balance,0
piccolo small could fit coat pocket,1
cactus surprisingly tall standing like sentinel desert,1
grand piano filled room size sound,1
electric guitar vibrant purple capturing essence rock,1
ladybug red black contrast made easily noticeable,1
theremin unique required physical contact play,1
sculpture colossal becoming landmark city,0
army tank camouflage pattern blending surroundings,1
flamingo pink hue made standout among bird,1
fashion accessory adorned complex beadwork making statement piece,1
hedgehog spine surprisingly beautiful forming unique pattern,1
intricate vein fern leaf formed natural work art,1
minivan equipped latest entertainment system long journey,-1
